MGI	HMD	PhenoGeno
MGI:95872	NA	MP:0006433,MP:0011088,MP:0002083,MP:0001882,MP:0000445,MP:0001406,MP:0006395,MP:0001783,MP:0005319,MP:0002115,MP:0001925,MP:0005058,MP:0003743,MP:0008151,MP:0001258,MP:0000592,MP:0002082,MP:0001265,MP:0000547,MP:0005325,MP:0000358,MP:0004686,MP:0000435,MP:0005508,MP:0011473,MP:0002427,MP:0030066,MP:0005060,MP:0005179,MP:0001732,MP:0002114,MP:0000588,MP:0002566,MP:0011110,MP:0005422,MP:0004470,MP:0001967,MP:0003723,MP:0000074
MGI:1927642	NA	MP:0006073,MP:0001566,MP:0004021,MP:0002059,MP:0004022,MP:0011239,MP:0002092,MP:0003734,MP:0002075,MP:0000598
MGI:3522298	NA	MP:0020470
MGI:1924407	NA	MP:0002675,MP:0000440,MP:0001402,MP:0010769,MP:0002766,MP:0010752,MP:0009239,MP:0002236,MP:0001925,MP:0005578,MP:0000827,MP:0000825,MP:0001850,MP:0002686,MP:0001265,MP:0001891
MGI:2665170	NA	MP:0005576,MP:0001402,MP:0005560,MP:0011806,MP:0011967,MP:0003438,MP:0003806,MP:0003998,MP:0001417,MP:0004393,MP:0001147,MP:0004562,MP:0001405
MGI:1916984	NA	MP:0001177,MP:0001176,MP:0002270,MP:0011089,MP:0004200,MP:0006027,MP:0003641,MP:0003717,MP:0004782,MP:0010890,MP:0010887,MP:0011143
MGI:1196423	NA	MP:0005560,MP:0002929,MP:0005293,MP:0009178,MP:0009174,MP:0012242,MP:0000611,MP:0003266,MP:0011932,MP:0009254,MP:0005083,MP:0009181,MP:0002696,MP:0011086,MP:0005215,MP:0009111,MP:0009177,MP:0003934,MP:0001944,MP:0004201,MP:0005559,MP:0003339,MP:0001732,MP:0003250,MP:0002727
MGI:1341264	NA	MP:0003091,MP:0005076,MP:0001891,MP:0002083
MGI:5495805	NA	MP:0020476
MGI:2671433	NA	MP:0001265,MP:0008911
MGI:88250	NA	MP:0011774,MP:0010386,MP:0011799,MP:0003052,MP:0011088,MP:0011100
MGI:2143261	NA	MP:0005601,MP:0001663,MP:0003721,MP:0001873,MP:0008010,MP:0010792,MP:0005493,MP:0000351
MGI:1926089	NA	MP:0002941,MP:0002981,MP:0009643,MP:0002644,MP:0002628,MP:0005343,MP:0010107,MP:0009289,MP:0011971,MP:0002965,MP:0002079,MP:0009355
MGI:1915241	NA	MP:0001406,MP:0013406,MP:0001510,MP:0002968
MGI:5463577	NA	MP:0000273,MP:0010526,MP:0010402,MP:0010485,MP:0010420,MP:0000284
MGI:3045252	NA	MP:0005331,MP:0000759,MP:0005458,MP:0014573,MP:0011939,MP:0001261,MP:0002628,MP:0003058,MP:0003961,MP:0002106,MP:0000609,MP:0005669,MP:0001260,MP:0002079,MP:0009355,MP:0005645
MGI:1891828	NA	MP:0008714,MP:0001730,MP:0011091,MP:0002018,MP:0000186,MP:0013504,MP:0002169,MP:0014237,MP:0003038,MP:0005344,MP:0000218,MP:0009321,MP:0002023,MP:0011100,MP:0003331,MP:0010299,MP:0001488,MP:0011096,MP:0001126,MP:0008481,MP:0001710,MP:0003037,MP:0002020,MP:0012431,MP:0003961,MP:0010024,MP:0009317,MP:0005029,MP:0002027,MP:0001698,MP:0000685,MP:0002048,MP:0009503,MP:0010286,MP:0030940,MP:0008483
MGI:1923545	NA	MP:0005642,MP:0004832,MP:0001289,MP:0005562
MGI:1921080	NA	MP:0005568,MP:0002100,MP:0010506,MP:0011100
MGI:1353474	NA	MP:0002169,MP:0001672,MP:0003935,MP:0006279,MP:0003984
