type	DRC150
moderate	0.00202146
moderate	0.00178238
moderate	0.00153965
moderate	0.00141283
moderate	0.00211028
moderate	0.00196301
moderate	0.00176841
moderate	0.00134235
moderate	0.00145849
moderate	0.00116639
moderate	0.00124735
moderate	0.00171846
moderate	0.00335135
moderate	0.00154587
moderate	0.00131752
moderate	0.001444
moderate	0.00183653
moderate	0.00169152
moderate	0.00134896
moderate	0.00128114
moderate	0.00121854
moderate	0.00533845
moderate	0.0106099
moderate	0.00144488
moderate	0.00195106
moderate	0.00161295
moderate	0.00137455
moderate	0.0017964
moderate	0.00108349
moderate	0.000930811
moderate	0.000905838
moderate	0.00324634
moderate	0.00312359
moderate	0.00121847
moderate	0.00143243
moderate	0.00187677
moderate	0.00323873
moderate	0.00251174
moderate	0.00134148
moderate	0.00228435
moderate	0.00167474
moderate	0.00165774
moderate	0.00184651
moderate	0.00208153
moderate	0.00186928
moderate	0.00204029
moderate	0.0019354
moderate	0.00160592
moderate	0.000915829
moderate	0.00156439
moderate	0.00191417
moderate	0.00133548
moderate	0.00142283
moderate	0.00144569
moderate	0.00124736
moderate	0.00121714
moderate	0.00130436
moderate	0.00111251
moderate	0.00111668
moderate	0.000951566
moderate	0.00162255
moderate	0.00138541
moderate	0.00191274
moderate	0.00208843
moderate	0.00229757
moderate	0.00226517
moderate	0.00434215
moderate	0.0017036
moderate	0.00145354
moderate	0.0017871
moderate	0.00170653
moderate	0.00131521
moderate	0.00117566
moderate	0.00134291
moderate	0.00188057
moderate	0.00209024
moderate	0.00171942
moderate	0.00236571
moderate	0.00255894
moderate	0.00156787
moderate	0.00174419
moderate	0.00159669
moderate	0.00125704
moderate	0.00168132
moderate	0.00156433
moderate	0.00452996
moderate	0.00413758
moderate	0.000867088
moderate	0.00163683
moderate	0.00104505
moderate	0.00122342
moderate	0.00182164
moderate	0.00139473
moderate	0.00135236
moderate	0.00126559
moderate	0.00257856
moderate	0.00190786
moderate	0.00132692
moderate	0.0013031
moderate	0.00113345
moderate	0.00189631
moderate	0.00220806
moderate	0.00215469
moderate	0.00122927
moderate	0.00172295
moderate	0.00163578
moderate	0.00188809
moderate	0.000725492
moderate	0.00182936
moderate	0.00163837
moderate	0.00134316
moderate	0.00101111
moderate	0.00149351
moderate	0.00193457
moderate	0.00126551
moderate	0.00350729
moderate	0.00677934
moderate	0.0072764
moderate	0.00868413
moderate	0.00945685
moderate	0.00984435
moderate	0.0098536
moderate	0.0103538
moderate	0.0107602
moderate	0.0218011
moderate	0.00588688
moderate	0.00494251
moderate	0.00225229
moderate	0.00235071
moderate	0.0024135
moderate	0.00245809
moderate	0.00236185
moderate	0.00245511
moderate	0.00149237
moderate	0.00258697
moderate	0.00256117
moderate	0.00186257
moderate	0.00148605
moderate	0.00197833
moderate	0.00127003
moderate	0.00113444
moderate	0.00110167
moderate	0.00221034
moderate	0.00103063
moderate	0.00151972
moderate	0.00274576
moderate	0.0010981
moderate	0.00156223
moderate	0.00173841
moderate	0.00128617
moderate	0.00177833
