"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005905","clathrin-coated pit","11/1001","77/19960",0.142857142857143,2.84857999143713,3.73440459633601,0.00153344134819301,0.0277932244668636,0.0239211034111086,"AP1G1/AP2A2/MYO6/DNM1/DNM2/TBC1D5/DGKD/AP2S1/FCHSD2/LDLR/LRP1",11
"GO:0008021","synaptic vesicle","23/1001","233/19960",0.0987124463519313,1.96833209708746,3.4162565731222,0.00155315077903061,0.0277932244668636,0.0239211034111086,"RPH3A/SYN2/ATP6V0A1/ATP2B1/RAB5B/ATM/CLN3/BIN1/KIF1B/BSN/WFS1/AP3S2/VTI1A/SYT6/TMEM163/STX16/RAB27B/ATP6V1G3/BDNF/DRD2/GRIA1/RAB3D/PDE4B",23
"GO:0045211","postsynaptic membrane","29/1001","321/19960",0.0903426791277259,1.80143843695246,3.32614909802569,0.001657343188049,0.0288972658429056,0.0248713309731509,"RPH3A/ERBB4/DDN/DNM2/COL13A1/DNM3/TENM2/SSPN/SORCS3/ABHD17C/LRFN2/FAIM2/SYNE1/KCND3/NAPEPLD/GPR158/DGKB/PCDH17/CHRNA3/CHRNA4/CHRNA5/CHRNB4/SLC6A3/DCC/DRD2/GRIA1/ITGB3/RAPSN/CRHR1",29
"GO:0030666","endocytic vesicle membrane","21/1001","207/19960",0.101449275362319,2.02290463160028,3.39924525858769,0.00174025880239773,0.0295843996407614,0.0254627340561352,"AP2A2/CAV1/INPP5B/ATP6V0A1/DMBT1/DNM2/TLR1/TBC1D5/AP2S1/APOB/APOE/CAMK2B/SCARB1/GRIA1/IGF2R/IL7R/LDLR/LRP1/TGFA/WNT3/WNT4",21
"GO:0034364","high-density lipoprotein particle","6/1001","27/19960",0.222222222222222,4.43112443112443,4.099309711732,0.00187150130034759,0.0310395337618625,0.0267151405133058,"APOC4/APOC1/APOE/APOH/CLU/APOC2",6
"GO:0044853","plasma membrane raft","14/1001","116/19960",0.120689655172414,2.4065589582831,3.49100958346676,0.00200575886674611,0.0324741911758895,0.0279499230554095,"CAV1/CLN3/CAV2/SKAP1/TEX101/LRP4/AKAP6/CHRNA3/SCARB1/SLC6A3/INSR/JAK2/SCN5A/CR1",14
"GO:0005815","microtubule organizing center","64/1001","885/19960",0.072316384180791,1.44199303521337,3.09053383438472,0.00208046978328157,0.0329004523867783,0.0283167980294872,"E2F1/CDC27/HERC2/RELB/IL4R/CCDC92/ATM/KIFAP3/KIF3A/CEP250/BRCA2/DNM2/KIF15/SMAD7/HIPK1/ASPM/TNKS/TACC3/MAD1L1/TSKS/TRIOBP/RGS14/NEK7/NEK6/POC5/AGBL4/CCDC141/MARK4/TTLL11/CCDC146/CEP128/HORMAD2/CCDC88B/RUVBL1/TACC2/RILPL2/TTC28/ZNF365/CEP120/PKHD1/RBM39/RAPGEF6/ZNF322/AGBL2/FBXL13/NME7/DCDC2/CEP68/CCDC61/CCDC170/CCDC68/CAMK2B/CCND1/CCND2/CCNE1/DBH/PTK2/NR3C1/LRP1/PAX2/PRKCA/PRKCQ/RAPSN/PDE4B",64
"GO:0005768","endosome","75/1001","1079/19960",0.0695088044485635,1.38600972706626,2.99554045650247,0.00255619951567759,0.0395049016059264,0.0340011227444196,"AP1G1/AP2A2/CAV1/FCGRT/INPP5B/ATP6V0A1/PML/MYO6/RAB5B/KCNJ11/CLN3/AP3D1/TRAF3/KCNQ1/BIN1/HFE/HTR4/DNM2/NPC1/ITCH/ATP9A/AP3S2/RABGAP1L/VTI1A/PRSS16/BACE2/ASTN2/ACKR2/TAB2/ANTXR1/ABHD17C/ARHGAP26/TMEM106B/TMEM163/TBC1D5/CLEC16A/SNX11/STARD3NL/ARHGAP10/GOSR2/NDFIP1/RAB27B/USP8/PCSK9/NAPEPLD/AP2S1/ACAP1/VPS13C/FCHSD2/EHBP1/SLC30A10/COLEC10/EHBP1L1/ACE/ADRB1/APOB/APOE/FGFR4/FLT3/GRIA1/GRN/IGF2R/INSR/JAK2/KDR/LDLR/LRP1/NTRK1/OCA2/PTPN2/RAB3D/APOC2/CCZ1/CRHR1/INS",75
"GO:0030425","dendrite","48/1001","631/19960",0.0760697305863708,1.51683498751645,3.03138157766468,0.00275427369056788,0.0416201357685813,0.03582166484107,"RPH3A/RELN/NQO1/NSF/BMPR1B/KIFAP3/TUBB3/BIN1/DDN/KIF1B/ADCY9/HTR4/BSN/HCN4/WFS1/DNM3/MARK3/TENM2/RGS14/CADM1/IGF2BP1/ABHD17C/MARK4/SYNE1/MTOR/KCND3/NDFIP1/USP8/SLC4A10/SCGN/LRP4/BPTF/AGO2/PREX1/CHRNA3/CHRNA4/APOE/BDNF/CLU/DRD2/PTK2/GRIA1/INSR/MAPT/NF1/NTRK1/PCSK1/PDE4B",48
"GO:0015630","microtubule cytoskeleton","95/1001","1430/19960",0.0664335664335664,1.32468929671727,2.9280399376875,0.00286062652264484,0.0422875225086628,0.03639607200436,"E2F1/CDC27/HERC2/RELB/CCT3/IL4R/CCDC92/ATM/DNM1/KIFAP3/KIF3A/DNAH2/TUBB3/KIF3C/CEP250/KIF1B/MACF1/BRCA2/DNM2/KIF6/KIF15/STAG1/SMAD7/TTK/BCL2L11/KLC3/HIPK1/ASPM/TNKS/TACC3/DNM3/MAD1L1/SPRY2/MAP2K5/MAPK14/TSKS/TRIOBP/PLA2G6/RGS14/DNAH10/NEK7/NEK6/ACOT13/POC5/AGBL4/EML2/LRPPRC/CCDC141/MARK4/TTLL11/CCDC146/CEP128/HORMAD2/CCDC88B/RUVBL1/TACC2/RILPL2/TTC28/ZNF365/CEP120/PKHD1/RBM39/RP1L1/RAPGEF6/BCAS3/WNK1/ZNF322/RADIL/AGBL2/FBXL13/NME7/DCDC2/CEP68/CCDC61/CCDC170/ANKFN1/CCDC68/CAMK2B/CCND1/CCND2/CCNE1/DBH/ERCC2/PTK2/FES/NR3C1/LRP1/MAPT/PAX2/PRKCA/PRKCQ/RAB3D/RAPSN/PDE4B/DCDC1",95
"GO:0097447","dendritic tree","48/1001","633/19960",0.0758293838862559,1.51204245990976,3.00818347730269,0.00292950497058124,0.0423843272339414,0.0364793900032065,"RPH3A/RELN/NQO1/NSF/BMPR1B/KIFAP3/TUBB3/BIN1/DDN/KIF1B/ADCY9/HTR4/BSN/HCN4/WFS1/DNM3/MARK3/TENM2/RGS14/CADM1/IGF2BP1/ABHD17C/MARK4/SYNE1/MTOR/KCND3/NDFIP1/USP8/SLC4A10/SCGN/LRP4/BPTF/AGO2/PREX1/CHRNA3/CHRNA4/APOE/BDNF/CLU/DRD2/PTK2/GRIA1/INSR/MAPT/NF1/NTRK1/PCSK1/PDE4B",48
"GO:0030135","coated vesicle","28/1001","320/19960",0.0875,1.74475524475524,3.08600433846495,0.00312034126195564,0.0442048345443716,0.038046266264196,"AP1G1/AP2A2/ATP6V0A1/MYO6/SREBF2/DNM2/RNF216/VTI1A/COPG1/ASTN2/CTSZ/TBC1D5/GOSR2/RAB27B/PCSK9/AP2S1/DENND1A/DENND1B/APOB/APOE/F5/CTLA4/GRIA1/IGF2R/IL7R/LDLR/TGFA/SEC16B",28
"GO:0045121","membrane raft","26/1001","293/19960",0.0887372013651877,1.76942511413501,3.04866583220355,0.00356648838345793,0.0494941245051304,0.0425986582428058,"CAV1/CLN3/CAV2/KCNQ1/NPC1/TLR1/CARD11/FAIM2/SKAP1/TEX101/CBLC/LRP4/CD226/AKAP6/CHRNA3/SCARB1/SLC6A3/HK1/INSR/JAK2/KDR/MAPT/PTPRC/SCN5A/ABCG2/CR1",26
