type	DRC150
moderate	0.0032304
moderate	0.00185103
moderate	0.00200756
moderate	0.00204904
moderate	0.00198056
moderate	0.00195834
moderate	0.00213127
moderate	0.00133993
moderate	0.00120154
moderate	0.00156824
moderate	0.00195202
moderate	0.00199175
moderate	0.00158612
moderate	0.00229481
moderate	0.00214814
moderate	0.00208235
moderate	0.00237255
moderate	0.00202221
moderate	0.00181568
moderate	0.00210138
moderate	0.00176807
moderate	0.00153476
moderate	0.00155919
moderate	0.00140419
moderate	0.00119499
moderate	0.00174982
moderate	0.00161827
moderate	0.00168821
moderate	0.00120674
moderate	0.00209277
moderate	0.00189619
moderate	0.00279258
moderate	0.00153374
moderate	0.00157573
moderate	0.00148952
moderate	0.00151991
moderate	0.00149927
moderate	0.023362
moderate	0.0193153
moderate	0.0184941
moderate	0.0017471
moderate	0.00139165
moderate	0.00144866
moderate	0.00165169
moderate	0.00173069
moderate	0.00176469
moderate	0.00171579
moderate	0.00168385
moderate	0.00246964
moderate	0.00309172
moderate	0.00543809
moderate	0.00116903
moderate	0.00107342
moderate	0.00148621
moderate	0.00157622
moderate	0.00162374
moderate	0.00164278
moderate	0.00171185
moderate	0.00152412
moderate	0.00139369
moderate	0.00171796
moderate	0.00149151
moderate	0.00199078
moderate	0.00140035
moderate	0.00152979
moderate	0.00167804
moderate	0.00138344
moderate	0.00232886
moderate	0.00170336
moderate	0.00226614
moderate	0.00277344
moderate	0.00155589
moderate	0.00107679
moderate	0.00244246
moderate	0.00187765
moderate	0.00220039
moderate	0.00312296
moderate	0.00287673
moderate	0.00273263
moderate	0.00263092
moderate	0.00250211
moderate	0.00252533
moderate	0.00254074
moderate	0.00180102
moderate	0.00186835
moderate	0.00161221
moderate	0.00164902
moderate	0.00231557
moderate	0.00148316
moderate	0.00151536
moderate	0.00106333
moderate	0.00188151
moderate	0.00164081
moderate	0.00243036
moderate	0.00144865
moderate	0.0025906
moderate	0.00283009
moderate	0.00284106
moderate	0.00270356
moderate	0.00286873
moderate	0.0023963
moderate	0.00167797
moderate	0.00127514
moderate	0.00153151
moderate	0.0013748
moderate	0.00256647
moderate	0.00255433
moderate	0.00217821
moderate	0.00304169
moderate	0.000915491
moderate	0.00115037
moderate	0.00161454
moderate	0.00184105
moderate	0.00186221
moderate	0.00181925
moderate	0.00110189
moderate	0.00149523
moderate	0.00101658
moderate	0.00133303
moderate	0.00171374
moderate	0.00194684
moderate	0.00115718
moderate	0.00193059
moderate	0.0017527
moderate	0.00164804
moderate	0.00168625
moderate	0.00106325
moderate	0.000967356
moderate	0.00117888
moderate	0.00113944
moderate	0.00194228
moderate	0.00157862
moderate	0.00143127
moderate	0.001454
moderate	0.00162584
moderate	0.00152203
moderate	0.00192988
moderate	0.00235932
moderate	0.00205784
moderate	0.0020011
moderate	0.00129872
moderate	0.00166771
moderate	0.00131342
moderate	0.00150461
moderate	0.00360841
moderate	0.0038962
moderate	0.00326357
moderate	0.0031638
moderate	0.00258038
moderate	0.00197989
moderate	0.00179884
moderate	0.00197495
moderate	0.00160248
moderate	0.00129868
moderate	0.00193647
moderate	0.00183346
moderate	0.00252357
moderate	0.00237417
moderate	0.00193556
moderate	0.00229858
moderate	0.00201643
moderate	0.00175603
moderate	0.00164166
moderate	0.00165463
moderate	0.00175232
moderate	0.001745
moderate	0.00128545
moderate	0.00139896
moderate	0.00168846
moderate	0.00256122
moderate	0.00236635
moderate	0.00171147
moderate	0.00178238
moderate	0.0020489
moderate	0.00186269
moderate	0.00176841
moderate	0.00146
moderate	0.00114006
moderate	0.00174764
moderate	0.00117327
moderate	0.00335135
moderate	0.00271066
moderate	0.00147558
moderate	0.00153499
moderate	0.00150442
moderate	0.00142981
moderate	0.00151822
moderate	0.00154639
moderate	0.00157289
moderate	0.00181075
moderate	0.00176476
moderate	0.00123541
moderate	0.00356522
moderate	0.0106099
moderate	0.0020316
moderate	0.00133378
moderate	0.00175254
moderate	0.00144488
moderate	0.00117952
moderate	0.00150305
moderate	0.00108051
moderate	0.00125859
moderate	0.00111183
moderate	0.00121847
moderate	0.00155195
moderate	0.00145816
moderate	0.00240777
moderate	0.00252705
moderate	0.00336013
moderate	0.00134148
moderate	0.00221396
moderate	0.00149835
moderate	0.00105733
moderate	0.00119144
moderate	0.00194471
moderate	0.00201557
moderate	0.00200723
moderate	0.00196414
moderate	0.00206381
moderate	0.00213144
moderate	0.00213427
moderate	0.00176853
moderate	0.00167579
moderate	0.00182096
moderate	0.00111668
moderate	0.00194332
moderate	0.00259271
moderate	0.00183776
moderate	0.000943265
moderate	0.00160512
moderate	0.00129484
moderate	0.00140898
moderate	0.00165771
moderate	0.00101912
moderate	0.000809523
moderate	0.00171974
moderate	0.00191274
moderate	0.00146185
moderate	0.000949694
moderate	0.00205024
moderate	0.00229757
moderate	0.00226517
moderate	0.00295364
moderate	0.00205582
moderate	0.0015614
moderate	0.00137065
moderate	0.00112612
moderate	0.00127438
moderate	0.00222981
moderate	0.00255894
moderate	0.00239672
moderate	0.00135311
moderate	0.00157038
moderate	0.0016515
moderate	0.00122244
moderate	0.00171913
moderate	0.00158039
moderate	0.00130652
moderate	0.0016864
moderate	0.00127467
moderate	0.00123039
moderate	0.00409512
moderate	0.00465131
moderate	0.00473755
moderate	0.00413758
moderate	0.00313762
moderate	0.00167755
moderate	0.0019274
moderate	0.00197063
moderate	0.000867088
moderate	0.0010468
moderate	0.00218035
moderate	0.00212391
moderate	0.00218418
moderate	0.00182164
moderate	0.00151271
moderate	0.00134232
moderate	0.00141687
moderate	0.00133373
moderate	0.00185541
moderate	0.00206696
moderate	0.00220806
moderate	0.00188809
moderate	0.00119125
moderate	0.00154431
moderate	0.00159342
moderate	0.00188411
moderate	0.00134316
moderate	0.00157113
moderate	0.00149887
moderate	0.00177501
moderate	0.00138533
moderate	0.00176582
moderate	0.00193457
moderate	0.00180388
moderate	0.0016555
moderate	0.00146412
moderate	0.00268423
moderate	0.00264372
moderate	0.00244021
moderate	0.00166676
moderate	0.0019968
moderate	0.00222316
moderate	0.00269739
moderate	0.00259434
moderate	0.00262176
moderate	0.00262056
moderate	0.00945685
moderate	0.0119923
moderate	0.0218011
moderate	0.00225229
moderate	0.0024135
