type	iHS
none	2.538
none	5.467
none	4.168
none	5.449
none	2.745
none	3.682
none	2.837
none	2.125
none	3.147
none	2.685
none	1.915
none	2.25
none	3.374
none	2.638
none	4.441
none	3.83
none	2.522
none	2.346
none	2.885
none	1.77
none	2.556
none	4.964
none	4.392
none	2.458
none	4.592
none	3.112
none	4.043
none	2.352
none	3.095
none	5.685
none	3.848
none	1.823
none	2.673
none	1.921
none	1.986
none	3.488
none	3.699
none	3.013
none	2.611
none	3.258
none	1.733
none	1.82
none	2.668
none	3.411
none	2.88
none	1.901
none	2.903
none	2.515
none	6.07
none	1.949
none	3.052
none	3.024
none	2.768
none	5.991
none	4.264
none	2.389
none	2.608
none	2.2
none	2.939
none	2.944
none	1.63
none	1.584
none	3.323
none	4.844
none	2.987
none	2.265
none	1.821
none	3.193
none	3.453
none	3.191
none	2.519
none	3.08
none	2.529
none	5.612
none	2.611
none	1.749
none	3.814
none	4.104
none	2.183
none	1.899
none	1.454
none	3.471
none	1.421
none	0.909
none	4.502
none	1.934
none	3.927
none	6.024
none	4.46
none	2.113
none	2.006
none	2.104
none	3.066
none	0.961
none	1.068
none	2.728
none	1.919
none	1.754
none	1.551
none	1.874
none	3.715
none	1.633
none	3.765
none	4.535
none	1.964
none	3.933
none	2.524
none	2.674
none	2.542
none	3.831
none	2.756
none	2.825
none	2.135
none	2.626
none	2.066
none	2.173
none	2.217
none	2.559
none	2.514
none	2.271
none	2.565
none	2.411
none	2.599
none	4.569
none	1.752
none	1.657
none	1.985
none	5.613
none	1.528
none	2.91
none	5.464
none	2.13
none	2.386
none	2.045
none	2.141
none	7.011
none	2.364
none	5.288
none	1.971
none	4.564
none	2.043
none	1.562
none	4.001
none	1.402
none	2.199
none	1.763
none	1.2
none	3.743
none	1.691
none	1.966
none	1.692
none	2.924
none	2.48
none	3.161
none	2.797
none	3.05
none	3.487
none	3.301
none	1.653
none	1.881
none	2.113
none	4.54
none	2.309
none	2.794
none	5.389
none	3.78
none	2.703
none	5.45
none	3.293
none	2.583
none	3.176
none	1.57
none	4.188
none	3.105
none	4.444
none	2.731
none	2.887
none	4.404
none	1.927
none	2.019
none	3.634
none	2.137
none	3.381
none	4.073
none	2.839
none	3.465
none	1.854
none	5.045
none	2.336
none	2.902
none	2.592
none	2.261
none	2.853
none	5.123
none	4.786
none	1.277
none	1.821
none	2.226
none	2.127
none	2.35
none	2.486
none	3.104
none	2.327
none	1.658
none	5.239
none	2.613
none	3.467
none	4.292
none	4.074
none	2.973
none	2.951
none	3.548
none	5.368
none	3.103
none	2.456
none	2.398
none	4.433
none	4.429
none	2.389
none	3.541
none	2.011
none	4.73
none	2.908
none	2.557
none	2.128
none	3.674
none	3.633
none	4.167
none	2.814
none	2.713
none	2.555
none	2.791
none	2.088
none	3.69
none	2.688
none	2.914
none	2.563
none	3.794
none	2.494
none	2.576
none	1.989
none	3.387
none	2.872
none	1.517
none	1.896
none	3.107
none	1.956
none	2.536
none	1.741
none	3.346
none	2.462
none	3.633
none	2.827
none	2.395
none	4.849
none	3.591
none	5.202
none	2.094
none	3.398
none	3.637
none	1.848
none	2.266
none	3.709
none	2.778
none	2.355
none	2.473
none	1.775
none	1.711
none	2.088
none	2.687
none	3.098
none	4.138
none	3.236
none	2.004
none	2.705
none	2.609
none	2.313
none	3.388
none	4.498
none	3.806
none	1.872
none	1.291
none	2.361
none	1.486
none	2.37
none	3.529
none	2.199
none	3.005
none	3.451
none	2.515
none	6.04
none	2.743
none	2.163
none	1.46
none	2.605
none	2.973
none	2.765
none	2.393
none	1.809
none	2.662
none	1.746
none	2.561
none	1.985
none	1.146
none	3.829
none	2.753
none	2.95
none	1.832
none	1.827
none	1.111
none	2.914
none	2.948
none	2.714
none	4.847
none	4.176
none	1.817
none	3.509
none	2.587
none	3.467
none	1.629
none	2.948
none	2.478
none	2.087
none	4.394
none	2.895
none	1.256
none	1.632
none	1.959
none	2.877
none	2.614
none	2.539
none	1.573
none	2.002
none	3.214
none	3.648
