gene_name	DRC150
AC015977.6	0.00191763
AC015987.1	0.00135707
AC016113.1	0.00131588
AC016405.1	0.00115826
AC016575.1	0.000871201
AC016682.1	0.00170756
AC016683.6	0.00246047
AC016696.1	0.00163535
AC016697.6	0.00205722
AC016706.1	0.00162298
AC016712.2	0.00194854
AC016722.1	0.00171263
AC016722.2	0.00172783
AC016722.4	0.00179541
AC016723.4	0.00131466
AC016725.4	0.0376375
AC016735.1	0.00160114
AC016735.2	0.00173766
AC016735.3	0.00185103
AC016737.1	0.00140474
AC016738.3	0.00125937
AC016739.1	0.00127537
AC016751.3	0.0013988
AC016757.3	0.00182716
AC016768.1	0.0018825
AC016831.5	0.000867382
AC016831.7	0.000971845
AC016903.2	0.00103378
AC016907.3	0.00206399
AC016910.1	0.00147873
AC016912.3	0.00187081
AC016970.1	0.00270301
AC016995.3	0.00296182
AC017002.1	0.00145357
AC017002.4	0.00164537
AC017048.1	0.00171234
AC017048.2	0.00172778
AC017048.3	0.00211742
AC017053.1	0.00227045
AC017060.1	0.00156677
AC017074.2	0.00311255
AC017076.5	0.00133112
AC017081.1	0.00155314
AC017101.10	0.00326843
AC017104.2	0.00173245
AC018359.1	0.00144786
AC018450.1	0.00131987
AC018462.2	0.00130383
AC018464.3	0.00178469
AC018470.4	0.0012158
AC018495.3	0.00176798
AC018618.1	0.00246463
AC018641.7	0.00192144
AC018685.1	0.00163247
AC018685.2	0.0016732
AC018717.1	0.00107342
AC018730.1	0.00132066
AC018731.3	0.00238462
AC018737.3	0.00146994
AC018755.1	0.00115111
AC018767.1	0.00134993
AC018799.1	0.00149792
AC018804.7	0.00111852
AC018816.3	0.00160776
AC018866.1	0.00131079
AC018880.2	0.0022027
AC018890.6	0.00145667
AC019048.1	0.000542233
AC019050.1	0.00180698
AC019055.1	0.00153671
AC019100.3	0.00191972
AC019109.1	0.00172664
AC019117.1	0.00145421
AC019118.2	0.00259673
AC019118.3	0.00159237
AC019118.4	0.00153862
AC019129.1	0.00195834
AC019172.2	0.000957992
AC019185.4	0.0018283
AC019186.1	0.00242262
AC019221.4	0.00136117
AC019330.1	0.00118615
AC019349.5	0.00187603
AC020595.1	0.0016961
AC020601.1	0.00605242
AC020626.1	0.0019231
AC020703.1	0.00166882
AC020743.3	0.00190238
AC020743.4	0.00175807
AC020907.1	0.00128772
AC020915.2	0.00173592
AC020922.1	0.00167633
AC020952.1	0.000689367
AC021016.8	0.00187957
AC021021.1	0.00149416
AC021021.2	0.00182615
AC021218.2	0.00172656
AC021613.1	0.00132723
AC021660.1	0.00229313
AC021818.1	0.00105268
AC022120.1	0.00156499
AC022153.1	0.00168856
AC022182.1	0.00140304
AC022182.3	0.00140508
AC022201.4	0.00184728
AC022311.1	0.0015236
AC022431.2	0.00130838
AC022716.1	0.00133594
AC022816.2	0.000853061
AC022909.1	0.00140694
AC023050.1	0.0029374
AC023115.1	0.00199055
AC023115.2	0.00199055
AC023347.1	0.00150683
AC023449.2	0.00173118
AC023469.1	0.0024033
AC023469.2	0.00240547
AC023481.1	0.00103701
AC023590.1	0.00209848
AC023669.1	0.00103951
AC023669.2	0.00112635
AC023672.1	0.00184773
AC023672.2	0.00172956
AC024028.1	0.0016725
AC024084.1	0.00117245
AC024132.1	0.00226131
AC024158.1	0.00119445
AC024198.1	0.00157079
AC024560.3	0.00142723
AC024590.1	0.00197424
AC024592.12	0.00117001
AC024592.9	0.0014215
AC024704.2	0.00304352
AC026167.1	0.00144758
AC026188.1	0.00174887
AC026202.3	0.00138623
AC026202.5	0.00166075
AC026271.5	0.00315358
AC026310.1	0.00132501
AC026320.1	0.00146806
AC026357.1	0.00462229
AC026703.1	0.00226517
AC026781.1	0.00121044
AC026797.1	0.00133264
AC027119.1	0.00167898
AC027124.2	0.00193676
AC027238.1	0.00180687
AC027269.2	0.00100433
AC027307.2	0.00120756
AC027309.1	0.00149253
AC027319.1	0.0014955
AC027612.4	0.0013058
AC027763.2	0.00247465
AC027806.1	0.00144467
AC034110.1	0.00153698
AC034187.2	0.00120891
AC034228.2	0.00473755
AC040163.1	0.00165805
AC046143.6	0.00198614
AC053503.11	0.00152679
AC055736.1	0.00261117
AC055873.1	0.00127704
AC060834.2	0.00251781
AC060834.3	0.00262207
AC061961.2	0.0011522
AC061992.2	0.00113254
AC062016.1	0.00242183
AC062016.3	0.002512
AC062017.1	0.00143586
AC062020.1	0.00128116
AC062020.2	0.00144521
AC062021.1	0.0019446
AC062028.1	0.00157114
AC062031.1	0.00136158
AC062032.1	0.00108376
AC063976.2	0.00452216
AC064834.1	0.00121347
AC064834.3	0.00119614
AC064853.3	0.00138449
AC064865.1	0.00166985
AC064875.2	0.0014017
AC067945.4	0.00512092
AC067956.1	0.00133068
AC067957.1	0.00220308
AC067959.1	0.00180827
AC067960.1	0.00144471
AC067961.1	0.00124884
AC068042.1	0.00147126
AC068057.1	0.00124965
AC068057.2	0.00130424
AC068135.1	0.00139064
AC068138.1	0.00175836
AC068286.1	0.00194844
AC068292.1	0.00137174
AC068483.1	0.00250897
AC068489.1	0.00154344
AC068490.2	0.0014723
AC068492.1	0.0336597
AC068535.5	0.0012329
AC068542.2	0.0018772
AC068570.1	0.00153588
AC068580.7	0.00134901
AC068610.5	0.00131095
AC068706.1	0.00126844
AC068718.1	0.0026526
AC068831.10	0.00279491
AC068858.1	0.00117337
AC068987.1	0.00158235
AC069067.1	0.00158029
AC069082.1	0.00122815
AC069154.4	0.00129613
AC069155.1	0.00125474
AC069240.1	0.00178857
AC069243.1	0.000834279
AC069277.2	0.00117007
AC069280.1	0.00142587
AC069368.3	0.00171147
AC069394.1	0.00400402
AC072061.2	0.00172459
AC072062.1	0.0015458
AC072062.3	0.0015706
AC073052.1	0.00164938
AC073055.2	0.00103818
AC073065.3	0.000920032
AC073071.1	0.00174915
AC073072.6	0.00240731
AC073072.7	0.00252893
AC073091.2	0.00201141
AC073094.4	0.00219012
AC073109.2	0.0014417
AC073115.6	0.00122188
AC073115.7	0.00115257
AC073130.3	0.00105856
AC073133.1	0.00245192
AC073133.2	0.00235987
AC073143.1	0.00147922
AC073150.6	0.00245779
AC073218.1	0.00155984
AC073218.2	0.00124869
AC073236.3	0.00128053
AC073254.1	0.00125336
AC073255.1	0.00218645
AC073257.1	0.00208384
AC073257.2	0.00245393
AC073283.4	0.00179995
AC073284.4	0.00202294
AC073316.1	0.00165199
AC073316.2	0.00168146
AC073321.3	0.00176918
AC073321.4	0.00157289
AC073325.1	0.00125951
AC073331.2	0.00112445
AC073333.8	0.0016827
AC073342.12	0.000982865
AC073343.13	0.00141236
AC073387.2	0.00177854
AC073409.1	0.00130763
AC073465.1	0.00149004
AC073465.2	0.000996719
AC073479.1	0.00309044
AC073551.1	0.00135306
AC073610.5	0.00234573
AC073621.2	0.00253256
AC073628.1	0.00167396
AC073636.1	0.00216697
AC073850.6	0.00102057
AC073869.19	0.00104005
AC073900.4	0.00114004
AC073928.2	0.00221848
AC073958.2	0.00181916
AC073987.1	0.00214924
AC073987.2	0.00217065
AC074019.1	0.00104968
AC074019.2	0.00122014
AC074121.4	0.00167589
AC074286.1	0.00197503
AC074289.1	0.00155093
AC074290.1	0.00132367
AC074323.1	0.00160774
AC074363.1	0.00216218
AC074389.1	0.00263058
AC074389.5	0.00310273
AC074391.1	0.00132705
AC078828.1	0.00233715
AC078851.2	0.00203891
AC078864.2	0.00157754
AC078882.1	0.00157903
AC078941.1	0.00199055
AC078974.2	0.00125994
AC078994.2	0.00255845
AC079112.1	0.00200063
AC079135.1	0.00180301
AC079150.2	0.00156919
AC079150.3	0.00161514
AC079154.1	0.00109715
AC079163.1	0.00143972
AC079248.1	0.00138143
AC079250.1	0.00205439
AC079298.1	0.00161288
AC079305.11	0.00190541
AC079305.8	0.00186153
AC079325.6	0.00155694
AC079341.1	0.0022005
AC079354.1	0.00157622
AC079354.2	0.00162374
AC079412.1	0.000779532
AC079448.1	0.00184078
AC079584.2	0.00155066
AC079586.1	0.00239968
AC079610.1	0.00154788
AC079612.1	0.00150781
AC079612.2	0.00100743
AC079613.1	0.00222804
AC079742.4	0.00142423
AC079756.1	0.00164071
AC079767.4	0.00163073
AC079772.1	0.000433181
AC079776.1	0.00174458
AC079776.2	0.00118182
AC079776.3	0.00118182
AC079779.5	0.00194999
AC079779.6	0.00204213
AC079779.7	0.0016641
AC079781.7	0.00171034
AC079790.2	0.00221323
AC079799.2	0.00222237
AC079804.1	0.00193983
AC079804.2	0.00160979
AC079807.4	0.00179552
AC079809.2	0.00108922
AC079896.1	0.00251053
AC079922.2	0.0030714
AC079949.1	0.0017925
AC079988.3	0.00197952
AC080002.1	0.00170958
AC080094.1	0.0010939
AC080125.1	0.002867
AC083760.1	0.00152181
AC083843.1	0.000917529
AC083864.3	0.00136321
AC083867.4	0.00142319
AC083873.4	0.00154877
AC083899.1	0.00291968
AC083899.3	0.00266853
AC083939.1	0.00151257
AC083949.1	0.00108484
AC084149.1	0.00121548
AC084193.1	0.00229205
AC084262.2	0.00123096
AC084809.2	0.00119638
AC087269.2	0.00212009
AC087294.2	0.00156874
AC087430.1	0.00203303
AC087433.1	0.00169013
AC087499.7	0.0013497
AC087645.1	0.00144177
AC090015.1	0.00256988
AC090043.1	0.00157119
AC090044.1	0.00296547
AC090044.2	0.00272169
AC090079.1	0.00219297
AC090103.1	0.00172235
AC090133.1	0.00184044
AC090150.1	0.00167303
AC090286.4	0.0018444
AC090349.1	0.00127201
AC090453.1	0.000873801
AC090505.1	0.0016004
AC090505.6	0.00178136
AC090573.1	0.00134812
AC090574.1	0.00128686
AC090587.2	0.00186242
AC090644.1	0.00135908
AC090666.1	0.00189657
AC090825.2	0.00194674
AC090939.1	0.00166031
AC090945.1	0.00106056
AC090952.5	0.00154173
AC090955.5	0.00157796
AC090958.5	0.00206261
AC091042.1	0.00164492
AC091153.4	0.00208001
AC091167.3	0.00180445
AC091199.1	0.00184373
AC091320.1	0.00194045
AC091320.2	0.00203413
AC091321.1	0.0012859
AC091487.1	0.00272589
AC091493.2	0.00152852
AC091517.1	0.00198182
AC091643.1	0.00171468
AC091652.2	0.00133073
AC091654.7	0.00151507
AC091705.1	0.00183548
AC091729.8	0.00172732
AC091729.9	0.00153041
AC091736.1	0.00135322
AC091770.3	0.00215055
AC091801.1	0.00165615
AC091813.2	0.00110769
AC091866.1	0.00128147
AC091878.1	0.000869076
AC091969.1	0.00265755
AC092013.1	0.00170108
AC092022.1	0.00191409
AC092048.1	0.00119682
AC092104.2	0.00194559
AC092106.1	0.00153647
