gene_name	fg_pleio_degree_finemap	pleio_degree	pleio_degree_maxindep	pleio_degree_locuswide	fg_pleio_degree
MARC1	1.0	6.0	9.0	9.0	
HLX	2.0	5.0	5.0	7.0	6.0
HHIPL2	2.0				1.0
MIA3	2.0				5.0
AIDA	1.0				1.0
FAM177B	3.0				3.0
CAPN2	1.0				
WDR26	1.0	1.0		2.0	
ENAH	1.0				
PARP1	2.0	1.0		1.0	1.0
CDC42BPA	1.0	2.0	1.0	3.0	1.0
ZNF678	1.0	2.0	1.0	2.0	
SNAP47	1.0	1.0		1.0	1.0
WNT3A	1.0			1.0	3.0
ARF1	1.0				1.0
OBSCN	1.0				7.0
ABCB10	1.0	1.0	1.0	1.0	3.0
GALNT2	1.0	5.0	4.0	5.0	1.0
DISC1	1.0			1.0	
SLC35F3	1.0				1.0
LINC00184	1.0	2.0	1.0	3.0	
GNG4	1.0			1.0	
NID1	1.0			3.0	
EDARADD	1.0				2.0
ACTN2	1.0				
FMN2	1.0	2.0	2.0	2.0	
GREM2	1.0				
EXO1	3.0				1.0
CEP170	1.0	1.0		2.0	
SDCCAG8	3.0	3.0	1.0	4.0	1.0
KIF26B	1.0				1.0
GCSAML	2.0	4.0	2.0	4.0	
OR2T32P	2.0				
WDR37	1.0	2.0	2.0	2.0	
IL2RA	12.0	2.0	1.0	2.0	18.0
RBM17	2.0			2.0	6.0
PFKFB3	1.0				1.0
PRKCQ	4.0				4.0
ITIH5	1.0				
GATA3-AS1	1.0			3.0	2.0
GATA3	3.0	3.0	3.0	3.0	4.0
RNA5SP299	1.0				4.0
CELF2	3.0	1.0	1.0	1.0	1.0
PROSER2-AS1	1.0	2.0	1.0	2.0	
BEND7	1.0				1.0
FRMD4A	1.0	1.0		1.0	
FAM107B	1.0	1.0		1.0	
CUBN	1.0	1.0		3.0	1.0
MRC1	1.0			1.0	1.0
SLC39A12	1.0	1.0		1.0	1.0
CACNB2	4.0	2.0		2.0	6.0
NSUN6	1.0				
PLXDC2	1.0	1.0	1.0	1.0	
NEBL	3.0				2.0
RNU6-15P	1.0				
RNMTL1P1	1.0				2.0
SKIDA1	1.0			4.0	3.0
MLLT10	9.0	4.0	2.0	5.0	9.0
DNAJC1	3.0	4.0	1.0	4.0	13.0
SPAG6	1.0				3.0
PIP4K2A	2.0				1.0
KIAA1217	1.0			1.0	1.0
GPR158	1.0	1.0	1.0	1.0	1.0
PDSS1	1.0				
MKX	2.0	1.0			6.0
ARMC4	1.0	1.0		1.0	1.0
RNU6-1067P	1.0			2.0	1.0
BAMBI	1.0	1.0		1.0	
MAP3K8	1.0				
EPC1	2.0	1.0		1.0	2.0
PARD3	1.0	1.0	1.0	1.0	
CREM	1.0				1.0
RET	1.0				2.0
MARCH8	1.0	5.0	3.0	5.0	2.0
FAM21FP	1.0	2.0	2.0	6.0	
VSTM4	1.0	4.0	1.0	5.0	3.0
C10orf53	1.0				
MSMB	1.0	1.0		2.0	1.0
PRKG1	1.0	2.0	1.0	3.0	1.0
MBL2	1.0				1.0
PCDH15	1.0				
BICC1	3.0	3.0	2.0	3.0	4.0
SLC16A9	1.0	1.0		1.0	1.0
ARID5B	10.0	3.0	2.0	3.0	13.0
RTKN2	2.0				7.0
ZNF365	9.0	1.0	1.0	1.0	20.0
AC067751.1	8.0			1.0	
EGR2	1.0	2.0	2.0	3.0	5.0
NRBF2	1.0	6.0	3.0	9.0	1.0
JMJD1C	4.0	10.0	7.0	11.0	2.0
REEP3	2.0	8.0	6.0	8.0	1.0
CTNNA3	2.0				6.0
DNAJC12	1.0				3.0
MYPN	1.0	3.0	2.0	3.0	2.0
STOX1	1.0	1.0	1.0	1.0	
HKDC1	1.0	4.0	3.0	6.0	3.0
HK1	1.0	7.0	4.0	9.0	5.0
TSPAN15	3.0	2.0	1.0	2.0	6.0
COL13A1	1.0				3.0
UNC5B	1.0				
CHST3	3.0				9.0
ASCC1	1.0				3.0
DNAJB12	1.0				
SYNPO2L	1.0				2.0
AGAP5	1.0				2.0
CAMK2G	1.0				1.0
PLAU	1.0				
VCL	2.0			1.0	
AP3M1	1.0	1.0	1.0	1.0	
ADK	2.0	1.0	2.0	1.0	1.0
KAT6B	1.0				
ZNF503-AS1	1.0				
KCNMA1	1.0	1.0		1.0	
DLG5	2.0	2.0	3.0	2.0	
ZMIZ1	7.0	6.0	4.0	9.0	10.0
ZCCHC24	2.0	4.0	1.0	5.0	1.0
ANXA11	1.0				2.0
MAT1A	1.0				1.0
CCSER2	1.0				
GRID1	2.0				
LDB3	1.0				
GLUD1	1.0			1.0	
MINPP1	1.0				
