MPO_term	cluster_label	MPO_label
MP:0004261	4985	abnormal embryonic neuroepithelium morphology
MP:0004259	4061	small placenta
MP:0005641	1154	increased mean corpuscular hemoglobin concentration
MP:0009392	6478	retina gliosis
MP:0013879	2500	duplication of ductus venosus
MP:0003711	3247	pathological neovascularization
MP:0004164	2256	abnormal neurohypophysis morphology
MP:0002714	1584	increased glycogen catabolism rate
MP:0009682	6501	abnormal anterior corticospinal tract morphology
MP:0008521	1909	abnormal Bowman membrane morphology
MP:0001062	6477	absent oculomotor nerve
MP:0003027	207	abnormal blood pH regulation
MP:0012659	1976	decreased superoxide dismutase level
MP:0002239	2224	abnormal nasal septum morphology
MP:0010455	4549	aortopulmonary window
MP:0002735	1887	abnormal chemical nociception
MP:0005083	1535	abnormal biliary tract morphology
MP:0009596	6836	abnormal stratum corneum lipid matrix formation
MP:0005151	4910	diffuse hepatic necrosis
MP:0013167	856	abnormal hindlimb bud morphology
MP:0000862	581	absent barrels in primary somatosensory cortex
MP:0030438	3903	increased osteoblast proliferation
MP:0012251	1365	abnormal diaphragm development
MP:0003868	2803	abnormal feces composition
MP:0003815	1851	hairless
MP:0013669	140	decreased Ly6C-positive immature NK cell number
MP:0009403	1016	increased variability of skeletal muscle fiber size
MP:0030035	3193	small nasal bridge
MP:0009956	2865	abnormal cerebellar layer morphology
MP:0010500	742	myocardium hypoplasia
MP:0030040	5512	absent facial muscle
MP:0001283	6473	sparse vibrissae
MP:0003495	2376	increased parathyroid adenoma incidence
MP:0009890	1853	cleft secondary palate
MP:0004572	3261	fusion of basioccipital and basisphenoid bone
MP:0009915	484	absent hyoid bone lesser horns
MP:0003849	1533	greasy coat
MP:0011091	376	prenatal lethality, complete penetrance
MP:0008383	1408	enlarged gonial bone
MP:0012680	3491	absent lateral ventricles
MP:0002750	1025	exophthalmos
MP:0011371	6472	decreased kidney apoptosis
MP:0030734	48	increased urine gamma-aminobutyric acid level
MP:0005061	6471	abnormal eosinophil morphology
MP:0013566	3474	dilated gastric gland
MP:0013633	1598	decreased femur maximal load
MP:0013724	6470	decreased circulating tyrosine level
