HPO_term	cluster_label	HPO_label
HP:0034196	3235	Ductus venosus agenesis
HP:0032148	839	Episodic pain
HP:0033601	3653	Glomerular subepithelial immune-complex deposits
HP:0001493	16	Falciform retinal fold
HP:0031508	1913	Abnormal circulating thyroid hormone concentration
HP:0030515	3314	Moderately reduced visual acuity
HP:0030329	93	Retinal thinning
HP:0010782	4654	Shoulder dimple
HP:0004590	3574	Hypoplastic sacrum
HP:0000910	2859	Wide-cupped costochondral junctions
HP:0002300	3892	Mutism
HP:0011364	3270	White hair
HP:0040303	639	Decreased circulating iron concentration
HP:6000569	2860	Midline notching of lower lip
HP:0000863	3213	Central diabetes insipidus
HP:0008606	3038	Supraauricular pit
HP:0007097	2602	Cranial nerve motor loss
HP:0005987	2216	Multinodular goiter
HP:0011002	2938	Osteopetrosis
HP:0008947	2607	Infantile muscular hypotonia
HP:0012347	5497	Abnormal protein N-linked glycosylation
HP:0010744	3152	Absent metatarsal bone
HP:0000548	2806	Cone/cone-rod dystrophy
HP:0025357	4892	Erratic myoclonus
HP:0000570	1831	Abnormal saccadic eye movements
HP:0045027	5078	Abnormality of the thoracic cavity
HP:0100276	4280	Skin pit
HP:0009002	4796	Loss of truncal subcutaneous adipose tissue
HP:0012658	73	Abnormal brain FDG positron emission tomography
HP:0034454	3075	Arachnoid granulation
HP:0003375	1734	Narrow greater sciatic notch
HP:0006371	769	Broad long bone diaphyses
HP:0031414	2921	High serum calcifediol
HP:0500262	2569	Atrichia
HP:0010994	4104	Abnormal corpus striatum morphology
HP:0010068	853	Broad first metatarsal
HP:6000118	3035	Elevated urinary dihydrouracil level
HP:0003447	125	Axonal loss
HP:0006467	1306	Limited shoulder movement
HP:0002916	1799	Abnormality of chromosome segregation
HP:0031165	900	Multifocal seizures
HP:0010300	2585	Abnormally low-pitched voice
HP:0000860	4192	Parathyroid hypoplasia
HP:0005736	4214	Short tibia
HP:0004458	2507	Dilatated internal auditory canal
HP:0003324	3845	Generalized muscle weakness
HP:0008038	4908	Aplastic/hypoplastic lacrimal glands
HP:0001042	4930	High axial triradius
HP:0008072	3974	Maternal virilization in pregnancy
HP:0002099	2430	Asthma
HP:0004860	3143	Thiamine-responsive megaloblastic anemia
HP:4000007	1854	Bronchoconstriction
HP:0000573	3334	Retinal hemorrhage
HP:0000637	1290	Long palpebral fissure
HP:0008988	3559	Pelvic girdle muscle atrophy
