gene_name	phast_value
LZIC	0.0888561029446296
RP11-84A14.4	0.0599673851389676
NMNAT1	0.066003731520654
RN7SKP269	0.0537366771159874
MIR5697	0.1519743589743589
RP11-807G9.2	0.0684810924369747
RBP7	0.0881102311985118
AL590639.1	0.181759842519685
UBE4B	0.0606414209476578
RP11-496H15.2	0.2168308605341246
PGAM1P11	0.3332709611451943
RNU6-828P	0.2980186915887851
KIF1B	0.0869480324826257
MIR1273D	0.0041511627906976
RNU6-37P	0.0075420560747663
RN7SL731P	0.0120309278350515
RN7SL721P	0.0352610169491525
PGD	0.0533533614810003
RP4-736L20.3	0.0642572145545796
APITD1	0.0670503355704698
APITD1-CORT	0.0670503355704698
CORT	0.1057289377289377
DFFA	0.0721235863792564
RP5-1113E3.3	0.045359693877551
PEX14	0.0986526620012494
RN7SL614P	0.0022769784172661
CASZ1	0.0998205839534636
RP4-734G22.3	0.1190510170277612
RP11-340B24.3	0.5388697478991596
C1orf127	0.0623312621250035
CFL1P6	0.3226756097560975
AL713997.1	0.0169431818181818
Y_RNA	0.0131547619047619
TARDBP	0.1104026750354928
MASP2	0.0994208874511129
RP4-635E18.8	0.2135402298850574
SRM	0.1186265392391104
EXOSC10	0.0846957972582972
RP4-635E18.7	0.0444434838988545
RP4-635E18.6	0.073510305028854
MTOR	0.0760899129977624
MTOR-AS1	0.0777604609929078
RNU6-537P	0.0373980582524271
snoU13	0.0329906542056074
ANGPTL7	0.0899218491191085
RNU6-291P	0.2771214953271028
RPL39P6	0.17726
UBIAD1	0.0729946594291717
UBE2V2P3	0.1599429347826087
RP11-149P14.1	0.4336477876106194
PTCHD2	0.0704703777880484
RP1-69M21.2	0.0317490196078431
FBXO2	0.0995271599946084
FBXO44	0.0851095722104322
FBXO6	0.0611630339165282
MAD2L2	0.0869382097722905
DRAXIN	0.0516801254065457
AGTRAP	0.0297947005716117
C1orf167	0.0509706823986474
RP11-56N19.5	0.0322209988202909
MTHFR	0.0653974431550146
CLCN6	0.057060440600081
NPPA-AS1	0.0635622256831374
NPPA	0.1561209708001516
NPPB	0.0725688010899182
RP5-934G17.6	0.4020269245354569
RNU5E-1	0.31635
RNU5E-4P	0.2790333333333333
KIAA2013	0.15181134834747
PLOD1	0.066640707407945
MFN2	0.072767654646907
RP5-1077B9.5	0.628752688172043
MIIP	0.0445576311605723
Y_RNA	0.041
RN7SL649P	0.1991282051282051
TNFRSF8	0.0421843970753794
RNU6-777P	0.0061730769230769
RP11-426M1.2	0.3691411764705882
TNFRSF1B	0.0380317576848387
MIR4632	0.1072131147540983
RP5-1118D24.2	0.2779145569620253
SNORA70	0.3753387096774194
VPS13D	0.0803864513291911
SNORA59A	0.0005986842105263
RP5-888M10.2	0.0028421807747489
DHRS3	0.0517717223237414
RNU6ATAC18P	0.0829999999999999
RP11-474O21.5	0.182495652173913
AADACL4	0.0668198562045091
RP11-474O21.2	0.2513839285714286
AADACL3	0.0474515822031882
snoU13	0.0203076923076923
C1orf158	0.0566344925077749
PRAMEF12	0.0258069145466405
PRAMEF1	0.0099430428134556
RP5-845O24.8	0.0069430379746835
PRAMEF11	0.0129307047226717
RP5-845O24.3	0.0214311784720074
HNRNPCL1	0.2891062215477997
PRAMEF2	0.0154046434494195
PRAMEF4	0.0172115742730267
PRAMEF10	0.0137367441860465
PRAMEF7	0.0295053398058252
RNU6-1072P	0.0127009345794392
RP11-450I1.2	0.0225391969407265
PRAMEF6	0.0187395522325647
RP11-450I1.4	0.0184064516129032
PRAMEF22	0.0400588235294117
WI2-3308P17.2	0.0220545454545454
PRAMEF23	0.0348100573215216
RP13-221M14.6	0.0241344596972896
PRAMEF25	0.0237808580858085
RP13-221M14.2	0.0069541666666666
RP13-221M14.3	0.0448063594140764
RP13-221M14.4	0.0525050505050505
HNRNPCP5	0.3050453547915143
WI2-2994D6.1	0.0271497498213009
PRAMEF26	0.0246137631742095
PRAMEF3	0.0461572776665713
RP11-248D7.2	0.0310552427867698
PRAMEF5	0.01963686546163
RP11-219C24.8	0.0304538056486357
RNU6-771P	0.0142897196261682
PRAMEF8	0.0368165048543689
RP11-219C24.6	0.0159021145975443
PRAMEF9	0.0179905929304446
RP11-219C24.10	0.00230625
PRAMEF13	0.0234592790387182
PRAMEF18	0.0521863091037402
PRAMEF16	0.032292317924842
PRAMEF21	0.0308135686707115
XX-FW84067D5.1	0.0384398058252427
XX-FW84067D5.2	0.0155951568894952
PRAMEF15	0.016695125427594
PRAMEF14	0.024330345222201
PRAMEF19	0.0366588001137333
PRAMEF17	0.0307861907938625
PRAMEF20	0.035592456639442
LRRC38	0.0358206347988439
RP4-597A16.2	0.1028918387413962
RP4-597A16.3	0.2474654178674351
PDPN	0.0461034992607195
RNA5SP41	0.0900990099009901
AL359771.1	0.0017227722772277
CTA-520D8.2	0.0528492307692307
SCARNA11	0.0122923076923076
PRDM2	0.0619857545522973
RNU6-1265P	0.0002815533980582
RP11-344F13.1	0.0953672638436482
RP4-704D23.1	0.0089729337844369
KAZN	0.0392791100242615
TBCAP2	0.2163649484536082
TMEM51-AS1	0.0317228110535973
TMEM51	0.0429669310806634
C1orf195	0.0288409807857757
RP1-21O18.3	0.3329223968565815
FHAD1	0.0457451441716989
RP3-467K16.2	0.0384242018956794
RP3-467K16.7	0.0225688991531947
RP3-467K16.4	0.1020142525174283
EFHD2	0.0582535087290332
CTRC	0.0449098398592983
CELA2A	0.0453489325696433
CELA2B	0.046864584967833
CASP9	0.0612140996554911
DNAJC16	0.0842118443729315
SCARNA21	0.02155
RP4-680D5.8	0.0580924855491329
AGMAT	0.0637238595391127
RP4-680D5.2	0.0981830655765822
CHCHD2P6	0.4533484848484848
RNU7-179P	0.2694264705882353
RP4-680D5.4	0.2955733333333333
DDI2	0.0803358618682704
RSC1A1	0.2420658036677454
RP4-680D5.9	0.01876171875
PLEKHM2	0.0606761766921765
AL121992.1	0.164919540229885
RP11-288I21.1	0.0810057836084073
SLC25A34	0.0944811698717948
RP11-169K16.4	0.0681127361365021
TMEM82	0.0895457651501528
FBLIM1	0.0577875150060024
RP11-169K16.6	0.3181265306122449
RP11-169K16.7	0.2647248062015504
RP11-169K16.8	0.2644144144144144
RP11-169K16.9	0.1000013491443584
SPEN	0.1227315139799345
snoU13	0.0025049504950495
RP1-134O19.3	0.347345971563981
ZBTB17	0.0751470931590007
RP11-5P18.1	0.2538348134991119
RP11-5P18.3	0.4841807692307692
TBC1D3P6	0.0869141569350542
C1orf64	0.0359372265966754
RP11-5P18.5	0.104423828125
HSPB7	0.0699845518232441
CLCNKA	0.0748647865050079
RP11-5P18.10	0.0759031327287716
CLCNKB	0.0774390334023056
FAM131C	0.0469961548159354
EPHA2	0.1050887846052092
RP11-276H7.2	0.1157361963190184
RP11-276H7.3	0.0452715813598166
ARHGEF19-AS1	0.0616448412698412
ARHGEF19	0.0962470859311466
ANO7P1	0.113142998597244
C1orf134	0.0264485842026825
RSG1	0.0967311001281347
MT1XP1	0.4173602150537635
FBXO42	0.0991475249962127
SZRD1	0.0899624541923591
RP11-430L17.1	0.3513910761154855
SPATA21	0.0707895563329887
NECAP2	0.0687447312825269
RP4-798A10.2	0.0588693920891956
CROCCP3	0.0730848783860222
RNU1-1	0.7090182926829268
RP4-798A10.7	0.009981081081081
RP4-798A10.4	0.0118821396192203
U1	0.0265096371882086
AL355149.2	0.0179392156862745
RP5-875O13.6	0.1918492656531821
AL355149.1	0.0217972972972972
NBPF1	0.0405254273671063
RP5-1182A14.5	0.0188023598820059
CROCCP2	0.1045812017557136
MST1P2	0.2613413124226166
RNU1-3	0.4657804878048781
AL137798.1	0.2519431372549019
AL021920.1	0.0131486486486486
EIF1AXP1	0.2109747126436781
ESPNP	0.0879653249641975
AL021920.2	0.0241058823529411
CROCC	0.0642731288702101
RNU1-4	0.7518475609756098
CROCCP4	0.229483606557377
MST1L	0.1544902792275574
RP11-108M9.1	0.1427442605445809
RP11-108M9.2	0.2082016503352243
MIR3675	0.0226575342465753
U1	0.0202843074968233
RP11-108M9.4	0.0111906474820143
RP11-108M9.5	0.0113641732283464
RNU1-2	0.6698658536585366
RP11-108M9.6	0.0541461187214611
MFAP2	0.0974029049573729
RP1-37C10.3	0.0804052969502407
ATP13A2	0.080928882214778
SDHB	0.0656417952551553
PADI2	0.0520272332188336
Y_RNA	0.0335113636363636
RP11-380J14.1	0.0316777281429483
PADI1	0.0467115215264187
PADI3	0.0408751138433515
MIR3972	0.0599655172413793
PADI4	0.0693534133667801
AC004824.2	0.0474505446411204
PADI6	0.0365618369767836
RP1-20B21.4	0.0677463884430176
RCC2	0.0655631123919308
AC004824.1	0.30934375
snoU13	0.0236732673267326
ARHGEF10L	0.0382447987851176
RP11-473A10.2	0.0367400594574507
ACTL8	0.0443497512229794
RP11-174G17.2	0.009199291914116
IGSF21	0.0444977136567456
RP11-174G17	0.0341778869383153
RP11-422P22.1	0.0089590469099032
KLHDC7A	0.1298253214638971
RP1-8B22.1	0.3004296296296296
RP1-8B22.2	0.4535470852017937
PAX7	0.059389289077812
TAS1R2	0.0612630452101175
RP13-279N23.2	0.0485498336789656
ALDH4A1	0.0363698883572567
MIR4695	0.0667432432432432
MIR1290	0.0110128205128205
IFFO2	0.0706764110979658
RP5-1126H10.2	0.0651037624926513
UBR4	0.0729203880062752
AL137127.1	0.00877
RP1-43E13.2	0.0657651635544961
EMC1	0.0698060129844799
MRTO4	0.044855529685681
AKR7L	0.0565915012784609
AKR7A3	0.0655428059166293
RP4-657E11.10	0.3015861650485437
AKR7A2	0.0648496700073331
RNU6-1099P	0.0448785046728971
PQLC2	0.0419320765832106
RN7SL85P	0.05083984375
CAPZB	0.0442732220708446
RN7SL277P	0.0387762237762237
RNU4-28P	0.0140709219858156
